0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0015,0.0000,0.0000,0.0000,0.0000,0.0005,0.0005,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
0.0029,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000
0.0024,0.0000,0.0000,0.0000,0.0002,0.0020,0.0007,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0002
0.0037,0.0002,0.0000,0.0000,0.0000,0.0020,0.0063,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000
0.0017,0.0000,0.0000,0.0000,0.0000,0.0044,0.0117,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0002,0.0000
0.0034,0.0000,0.0000,0.0000,0.0000,0.0059,0.0115,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000
0.0049,0.0000,0.0000,0.0000,0.0000,0.0071,0.0103,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000
0.0056,0.0000,0.0000,0.0000,0.0005,0.0090,0.0132,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000
0.0063,0.0000,0.0000,0.0000,0.0002,0.0125,0.0107,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0002
0.0083,0.0000,0.0000,0.0000,0.0002,0.0273,0.0144,0.0002,0.0000,0.0000,0.0134,0.0002,0.0000,0.0000,0.0000,0.0000
0.0366,0.0000,0.0000,0.0000,0.0000,0.0295,0.0159,0.0005,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0002,0.0007
0.0410,0.0000,0.0000,0.0002,0.0000,0.0464,0.0156,0.0002,0.0002,0.0000,0.0222,0.0000,0.0000,0.0002,0.0000,0.0000
0.4348,0.0015,0.0010,0.0007,0.0115,0.4143,0.0251,0.0037,0.0044,0.0000,0.1360,0.0017,0.0002,0.0000,0.0000,0.0183
0.5193,0.0015,0.0027,0.0020,0.0168,0.5117,0.0659,0.0134,0.2822,0.0012,0.2168,0.0066,0.0002,0.0000,0.0068,0.0352
0.5833,0.0029,0.0237,0.0073,0.0535,0.8040,0.4792,0.0237,0.9143,0.0071,0.3086,0.0200,0.0015,0.0024,0.0137,0.4062
0.9956,0.2886,0.3772,0.2991,0.1853,0.8430,0.7939,0.3486,0.6406,0.0266,0.7798,0.3530,0.2578,0.2661,0.3467,0.7878
0.0779,0.9956,0.4443,0.8926,0.6421,0.2012,0.1233,0.6958,0.1418,0.3667,0.6665,0.9658,0.8589,0.7559,0.7007,0.0452
0.4912,0.7175,0.0559,0.9873,0.4114,0.1375,0.2112,0.8901,0.1167,0.6011,0.1929,0.7717,0.9583,0.9785,0.8667,0.5500
0.9419,0.0762,0.0029,0.9636,0.1514,0.4001,0.2783,0.9324,0.6553,0.6731,0.7969,0.0779,0.5615,0.9939,0.9221,0.8416
0.9451,0.0781,0.0042,0.9656,0.1511,0.4214,0.2913,0.9370,0.6997,0.6667,0.8242,0.0591,0.5688,0.9924,0.9231,0.8372
0.8921,0.0723,0.0059,0.9641,0.1785,0.4797,0.3003,0.9460,0.7661,0.6848,0.8901,0.0479,0.5481,0.9934,0.9314,0.8599
0.4812,0.0632,0.0081,0.9563,0.2114,0.5625,0.3633,0.9526,0.7896,0.6792,0.7917,0.0571,0.5386,0.9907,0.9219,0.8616
0.2156,0.0518,0.0090,0.9575,0.2295,0.6367,0.4368,0.9580,0.8030,0.6848,0.6296,0.0710,0.5405,0.9895,0.9321,0.9048
0.0417,0.0400,0.0212,0.9517,0.2634,0.7588,0.4326,0.9685,0.8142,0.7122,0.3655,0.0691,0.5237,0.9915,0.9285,0.9250
0.6614,0.0237,0.0295,0.9390,0.3364,0.8672,0.4758,0.9497,0.8218,0.7014,0.0864,0.0808,0.5159,0.9878,0.9448,0.9626
0.9631,0.0125,0.0591,0.9211,0.4741,0.9399,0.5464,0.8584,0.8179,0.7134,0.2280,0.1018,0.4897,0.9868,0.9436,0.9805
0.5708,0.0078,0.0867,0.9104,0.5415,0.8567,0.5759,0.7815,0.8210,0.7485,0.4570,0.1257,0.4478,0.9841,0.9424,0.9561
0.0339,0.0142,0.1274,0.8948,0.6228,0.6021,0.6392,0.5923,0.8196,0.7615,0.7695,0.1343,0.4124,0.9861,0.9480,0.8691
0.4580,0.0283,0.1440,0.8860,0.6812,0.4451,0.6477,0.5024,0.7976,0.7639,0.9053,0.1501,0.3923,0.9807,0.9424,0.7903
